 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 04/15 | 15:47 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1477   |            724   |
| 19.0/(FRExt)| 04/15 | 15:48 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1427   |            684   |
| 19.0/(FRExt)| 04/15 | 15:49 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1462   |            704   |
| 19.0/(FRExt)| 04/15 | 15:52 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1346   |            618   |
| 19.0/(FRExt)| 04/15 | 15:54 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|          63725   |            422   |
| 19.0/(FRExt)| 04/15 | 16:48 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1278   |            584   |
| 19.0/(FRExt)| 04/15 | 16:57 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1447   |            672   |
| 19.0/(FRExt)| 04/15 | 16:57 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1454   |            670   |
| 19.0/(FRExt)| 04/15 | 16:57 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1395   |            635   |
| 19.0/(FRExt)| 04/15 | 16:58 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1349   |            606   |
| 19.0/(FRExt)| 04/15 | 16:58 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1404   |            640   |
| 19.0/(FRExt)| 04/15 | 17:09 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1349   |            629   |
| 19.0/(FRExt)| 04/15 | 17:11 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1574   |            756   |
| 19.0/(FRExt)| 04/15 | 17:13 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 37.171| 41.323| 42.980| 213920|  89280|  25600|   332000|           1440   |            672   |
| 19.0/(FRExt)| 04/15 | 17:15 |                                 263.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 35.030| 38.061| 39.133| 33.953| 37.578| 38.979| 522480| 242480|  90720|   858880|           1609   |            646   |
| 19.0/(FRExt)| 04/15 | 17:16 |                                 263.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 35.030| 38.061| 39.133| 33.953| 37.578| 38.979| 522480| 242480|  90720|   858880|           1318   |            508   |
| 19.0/(FRExt)| 04/15 | 17:24 |                                 263.yuv|  263 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 35.030| 38.061| 39.133| 33.428| 37.837| 39.652|   5960| 117749| 311818|   435564|         248490   |         173991   |
| 19.0/(FRExt)| 04/15 | 17:31 |                                 263.yuv|  263 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 35.030| 38.061| 39.133| 33.428| 37.837| 39.652|   5960| 117749| 311818|   435564|         251139   |         176300   |
| 19.0/(FRExt)| 04/15 | 17:46 |                                 263.yuv|  263 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 35.030| 38.061| 39.133| 33.428| 37.837| 39.652|   5960| 117749| 311818|   435564|         252893   |         177591   |
| 19.0/(FRExt)| 04/15 | 18:15 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           9065   |           5262   |
| 19.0/(FRExt)| 04/15 | 18:17 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8919   |           5167   |
| 19.0/(FRExt)| 04/15 | 18:19 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8760   |           5097   |
| 19.0/(FRExt)| 04/15 | 18:23 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8735   |           5092   |
