
----------------------------Sysc 5404-----------------------------------------
---------------------------------------------------------
 Frame   Intra       Inter        Skip         IPR
 207         0        1014          39         0.000000
 208         0        1315          48         0.000000
 209         0        1195          38         0.000000
 210         0         698          36         0.000000
 211         0        1048          40         0.000000
 212         0         962          40         0.000000
 213         0         455          38         0.000000
 214         0         827          36         0.000000
 215         0         737          43         0.000000
 216         0         742          32         0.000000
 217         0         627          34         0.000000
 218         0         500          36         0.000000
 219         0         372          27         0.000000
 220         0         375          31         0.000000
 221         0         130          20         0.000000
 222         0          43          19         0.000000
 223         0          75          16         0.000000
 224         0         670          33         0.000000
 225         0         302          18         0.000000
 226         0         569          40         0.000000
 227         0         116          16         0.000000
 228         0         602          32         0.000000
 229         0         587          30         0.000000
 230         0         523          33         0.000000
 231         0         310          25         0.000000
 232         0         617          28         0.000000
 233         0         832          29         0.000000
 234         0         456          33         0.000000
 235         0         534          29         0.000000
 236         0         528          38         0.000000
 237         0        1243          29         0.000000
 238         0         965          34         0.000000
 239         0        1936          36         0.000000
 240         0        1773          37         0.000000
 241         0        1699          32         0.000000
 242         0        1069          32         0.000000
 243         0        1295          35         0.000000
 244         0         516          32         0.000000
 245         0         784          33         0.000000
 246         0         393          32         0.000000
 247         0         750          30         0.000000
 248         0         305          24         0.000000
 249         0         576          37         0.000000
 250         0         417          25         0.000000
 251         0         530          34         0.000000
 252         0         622          34         0.000000
 253         0         605          39         0.000000
 254         0         888          31         0.000000
 255         0         988          30         0.000000
 256         0        1027          32         0.000000
 257         0        1314          30         0.000000
 258         0        1097          30         0.000000
 259         0        1295          35         0.000000
 260         0        1155          29         0.000000
 261         0        1157          40         0.000000
 262         0        1178          35         0.000000
 263         0         872          35         0.000000
 264         0         745          35         0.000000
 265         0         620          39         0.000000
 266         0         797          34         0.000000
 267         0         543          33         0.000000
 268         0         385          35         0.000000
 269         0         144          19         0.000000
 270         0         329          24         0.000000
 271         0         365          31         0.000000
 272         0         147          21         0.000000
 273         0           0          10         0.000000
 274         0         235          25         0.000000
 275        19         570          34         0.033275
 276         0         158          24         0.000000
 277         0          70          21         0.000000
 278         0          95          16         0.000000
 279         0         521          24         0.000000
 280         0         508          27         0.000000
 281         0         680          38         0.000000
 282         0         704          29         0.000000
 283         0         681          33         0.000000
 284         0         382          28         0.000000
 285         0         289          25         0.000000
 286         0         532          29         0.000000
 287         0         311          27         0.000000
 288         0         152          20         0.000000
 289         0         482          30         0.000000
 290         0         670          35         0.000000
 291         0         489          31         0.000000
 292         0         308          35         0.000000
 293         0         593          27         0.000000
 294         0         436          30         0.000000
 295         0           0          10         0.000000
 296         0          88          17         0.000000
 297         0         255          28         0.000000
 298         0         273          29         0.000000
 299         0         336          27         0.000000
 300         0         339          28         0.000000
 301         0         316          25         0.000000
 302         0         526          28         0.000000
 303         0         551          29         0.000000
 304         0         431          36         0.000000
 305         0         471          35         0.000000
 306         0         480          24         0.000000
 307         0         373          35         0.000000
 308         0         467          29         0.000000
 309         0         762          30         0.000000
 310         0        1127          33         0.000000
 311         0        1197          29         0.000000
 312         0        1119          26         0.000000
 313         0        1138          35         0.000000
 314         0        1236          29         0.000000
 315         0        1401          31         0.000000
 316         0        1382          33         0.000000
 317         0        1613          29         0.000000
 318         0        1707          27         0.000000
 319         0        1431          31         0.000000
 320         0        1126          32         0.000000
 321         0        1220          36         0.000000
 322         0        1222          34         0.000000
 323         0        1340          33         0.000000
 324         0        1106          35         0.000000
 325         0         950          35         0.000000
 326         0        1124          28         0.000000
 327         0        1131          26         0.000000
 328         0         779          29         0.000000
 329         0         887          39         0.000000
 330         0         757          29         0.000000
 331         0         405          35         0.000000
 332         0         416          31         0.000000
 333         0         550          30         0.000000
 334         0         587          33         0.000000
 335         0         392          37         0.000000
 336         0         840          36         0.000000
 337         0        1254          30         0.000000
 338         0        1143          33         0.000000
 339         0         959          38         0.000000
 340         0        1170          38         0.000000
 341         0         788          33         0.000000
 342         0         895          36         0.000000
 343         0         304          33         0.000000
 344         0         754          28         0.000000
 345         0         862          37         0.000000
 346         0         901          32         0.000000
 347         0         718          32         0.000000
 348         0        1057          32         0.000000
 349         0         986          30         0.000000
 350         0         910          29         0.000000
 351         0        1469          38         0.000000
 352         0        1275          35         0.000000
 353         0        1188          35         0.000000
 354         0         952          32         0.000000
 355         0        1028          30         0.000000
 356         0         791          33         0.000000
 357         0         795          33         0.000000
 358         0         372          31         0.000000
 359         0          12          16         0.000000
 360         0         611          32         0.000000
 361         0         857          35         0.000000
 362         0        1091          30         0.000000
 363         0        1231          31         0.000000
 364         0        1301          40         0.000000
 365         0        1221          27         0.000000
 366         0         901          40         0.000000
 367         0         153          20         0.000000
 368         0         350          28         0.000000
 369         0         303          21         0.000000
 370         0         334          33         0.000000
 371         0         157          19         0.000000
 372         0         414          35         0.000000
 373         0         197          27         0.000000
 374         0         392          31         0.000000
 375         0         502          27         0.000000
 376         0         504          39         0.000000
 377         0         831          30         0.000000
 378         0        1091          31         0.000000
 379         0         878          31         0.000000
 380         0        1218          34         0.000000
 381         0        1367          39         0.000000
 382         0        1412          41         0.000000
 383         0        1247          40         0.000000
 384         0        1029          39         0.000000
 385         0         740          35         0.000000
 386         0         677          40         0.000000
 387         0         804          42         0.000000
 388         0         807          38         0.000000
 389         0         890          42         0.000000
 390         0         757          34         0.000000
 391         0         956          29         0.000000
 392         0         491          33         0.000000
 393         0         727          37         0.000000
 394         0         838          44         0.000000
 395         0         638          37         0.000000
 396         0         506          36         0.000000
 397         0         844          35         0.000000
 398         0         843          32         0.000000
 399         0         979          34         0.000000
 400         0         402          29         0.000000
 401         0         636          32         0.000000
 402         0         354          34         0.000000
---------------------------------------------------------

-----------Result of Abrupt Scene Change Detection--------------
0 frame has abrupt scene change
38 frame has abrupt scene change
103 frame has abrupt scene change
---------------------------------------------------------------

-----------Result of Gradual Scene Change Detection-------------
0 frame has gradual scene change
1 frame has gradual scene change
2 frame has gradual scene change
39 frame has gradual scene change
40 frame has gradual scene change
41 frame has gradual scene change
42 frame has gradual scene change
43 frame has gradual scene change
44 frame has gradual scene change
45 frame has gradual scene change
46 frame has gradual scene change
47 frame has gradual scene change
48 frame has gradual scene change
49 frame has gradual scene change
50 frame has gradual scene change
51 frame has gradual scene change
52 frame has gradual scene change
53 frame has gradual scene change
62 frame has gradual scene change
63 frame has gradual scene change
64 frame has gradual scene change
65 frame has gradual scene change
141 frame has gradual scene change
142 frame has gradual scene change
143 frame has gradual scene change
144 frame has gradual scene change
146 frame has gradual scene change
147 frame has gradual scene change
152 frame has gradual scene change
153 frame has gradual scene change
154 frame has gradual scene change
155 frame has gradual scene change
156 frame has gradual scene change
157 frame has gradual scene change
158 frame has gradual scene change
159 frame has gradual scene change
160 frame has gradual scene change
161 frame has gradual scene change
162 frame has gradual scene change
163 frame has gradual scene change
164 frame has gradual scene change
203 frame has gradual scene change
204 frame has gradual scene change
205 frame has gradual scene change
206 frame has gradual scene change
207 frame has gradual scene change
208 frame has gradual scene change
209 frame has gradual scene change
210 frame has gradual scene change
221 frame has gradual scene change
222 frame has gradual scene change
223 frame has gradual scene change
224 frame has gradual scene change
225 frame has gradual scene change
226 frame has gradual scene change
227 frame has gradual scene change
228 frame has gradual scene change
229 frame has gradual scene change
230 frame has gradual scene change
231 frame has gradual scene change
232 frame has gradual scene change
258 frame has gradual scene change
259 frame has gradual scene change
271 frame has gradual scene change
272 frame has gradual scene change
273 frame has gradual scene change
274 frame has gradual scene change
275 frame has gradual scene change
276 frame has gradual scene change
277 frame has gradual scene change
278 frame has gradual scene change
279 frame has gradual scene change
280 frame has gradual scene change
281 frame has gradual scene change
282 frame has gradual scene change
359 frame has gradual scene change
363 frame has gradual scene change
364 frame has gradual scene change
367 frame has gradual scene change
368 frame has gradual scene change
369 frame has gradual scene change
370 frame has gradual scene change
371 frame has gradual scene change
372 frame has gradual scene change
373 frame has gradual scene change
374 frame has gradual scene change
375 frame has gradual scene change
376 frame has gradual scene change
377 frame has gradual scene change
378 frame has gradual scene change
---------------------------------------------------------------

